Cost,DoC,TotPlastics(kg),HDPE,LDPE,PP,PLA,PHA,Paper,Reprocess,Pyrolysis,Landfill,Incineration,GWP
Cost,DoC,TotPlastics(kg),HDPE,LDPE,PP,PLA,PHA,Paper,Reprocess,Pyrolysis,Landfill,Incineration,GWP
1.6285,0.3708,1.2651,0.0000,0.0000,1.2651,0.0000,0.0000,0.0000,0.8371,0.0000,0.0241,0.2404,34.1078
35.9737,0.6633,7.7158,0.0000,0.0000,0.0000,0.0000,0.0000,7.7158,5.1055,0.0000,0.0000,0.0000,1602.5928
16.2408,0.6763,4.1550,0.0000,0.0000,0.0000,4.1550,0.0000,0.0000,0.0000,2.7811,3.3333,0.0000,161.3730
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,82.7949
16.2408,0.6763,4.1550,0.0000,0.0000,0.0000,4.1550,0.0000,0.0000,0.0000,2.7811,3.3333,0.0000,161.3730
35.9737,0.6633,7.7158,0.0000,0.0000,0.0000,0.0000,0.0000,7.7158,5.1055,0.0000,0.0000,0.0000,1602.5928
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,82.7949
35.9737,0.6633,7.7158,0.0000,0.0000,0.0000,0.0000,0.0000,7.7158,5.1055,0.0000,0.0000,0.0000,1602.5928
10.3995,0.6633,7.7150,0.0000,0.0000,0.0000,0.0007,0.0000,7.7143,5.1050,0.0000,0.0000,0.0000,601.5887
10.3995,0.6633,7.7150,0.0000,0.0000,0.0000,0.0007,0.0000,7.7143,5.1050,0.0000,0.0000,0.0000,601.5887
10.3995,0.6633,7.7150,0.0000,0.0000,0.0000,0.0007,0.0000,7.7143,5.1050,0.0000,0.0000,0.0000,601.5887
10.3984,0.6633,7.7158,0.0000,0.0000,0.0000,0.0000,0.0000,7.7158,5.1055,0.0000,0.0000,0.0000,103.3955
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,14.2091
5.0937,0.1270,7.9835,0.7177,0.0000,0.0001,0.0000,0.0000,7.2657,1.1007,0.0000,0.0000,0.0000,-4.7994
1.6285,0.3708,1.2651,0.0000,0.0000,1.2651,0.0000,0.0000,0.0000,0.8371,0.0000,0.0241,0.2404,5.8977
1.6285,0.3708,1.2651,0.0000,0.0000,1.2651,0.0000,0.0000,0.0000,0.8371,0.0000,0.0241,0.2404,5.8977
0.7842,0.0000,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9412
5.0936,0.0713,7.9836,0.7179,0.0000,0.0000,0.0000,0.0000,7.2657,1.1006,0.0000,0.0000,0.0000,-4.7994
4.4523,0.9709,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,14.2091
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,14.2091
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,14.2091
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,14.2091
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,14.2091
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,14.2091
4.4523,0.7049,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,14.2091
5.0942,0.1270,7.9840,0.7177,0.0000,0.0000,0.0000,0.0000,7.2663,1.1011,0.0000,0.0000,0.0000,-4.7994
5.0942,0.1270,7.9840,0.7177,0.0000,0.0000,0.0000,0.0000,7.2663,1.1011,0.0000,0.0000,0.0000,-4.7994
4.4752,0.1367,8.1341,0.6480,0.0000,0.0000,0.0000,0.0000,7.4862,1.1984,0.0000,0.0000,0.0000,-7.8519
4.4752,0.1367,8.1341,0.6480,0.0000,0.0000,0.0000,0.0000,7.4862,1.1984,0.0000,0.0000,0.0000,-7.8519
